h,displacement_key,mean_abs_err,max_abs_diff,mean_rel_err
0.19,1|y|-,0.2365423300683906,1.054749346765921,0.7778321210499617
0.19,1|x|+,0.2365423392657869,1.0543420981162235,0.7778349751135338
0.19,1|y|+,0.23654233801016794,1.0547491387189993,0.7778322290132332
0.19,1|x|-,0.2365423383737092,1.0543642344647908,0.7778517149556178
0.19,1|z|-,0.23654232935862712,1.0547491903602677,0.7778319132274825
0.19,0|y|-,0.23654233722742077,1.0547474518037132,0.7778323091089978
0.19,0|x|+,0.23654233857127416,1.0543379210291568,0.7778506730303155
0.19,eq,0.0005687650225101893,0.007175253792106595,0.0022575792379304145
0.19,0|z|+,0.23654233016207332,1.0547512238292027,0.777831567364583
0.19,0|z|-,0.23654233785615583,1.0547547920609777,0.7778325283600883
0.19,0|y|+,0.23654233087067475,1.0547505335307263,0.7778318805352514
0.19,0|x|-,0.23654235436988036,1.0543582583520241,0.7778356980426537
0.18,1|z|+,0.23632518080291967,1.0551365671705673,0.7784788150723654
0.18,1|y|-,0.23632509779025773,1.055130564448719,0.7784280693416513
0.18,1|x|+,0.23632516475525425,1.053866451501509,0.7781503567856498
0.18,1|y|+,0.23632518103474148,1.05513662592319,0.7785291548696849
0.18,1|x|-,0.2363250998692256,1.053856534236489,0.778437919789288
0.18,1|z|-,0.23632509709171287,1.0551305384113423,0.778441455902855
0.18,0|y|-,0.23632518022669374,1.0551374955468713,0.7786798167529791
0.18,0|x|+,0.2363250956622973,1.0538566176687023,0.778198547690592
0.18,eq,0.0004406069199018014,0.014404588895153392,0.0018925683786437395
0.18,0|z|+,0.23632509791570985,1.0551295849833286,0.778115845456284
0.18,0|z|-,0.23632517996140878,1.0551375814033974,0.7785895423822613
0.18,0|y|+,0.2363250984242482,1.0551295595626975,0.7781018202537376
0.18,0|x|-,0.2363251587420295,1.0538608275600378,0.778212578928039
0.2,1|z|+,0.23654233869664953,1.0547528319887562,0.7778323650303385
0.2,1|y|-,0.2365423300683906,1.054749346765921,0.7778321210499617
0.2,1|x|+,0.2365423392657869,1.0543420981162235,0.7778349751135338
0.2,1|y|+,0.23654233801016794,1.0547491387189993,0.7778322290132332
0.2,1|x|-,0.2365423383737092,1.0543642344647908,0.7778517149556178
0.2,1|z|-,0.23654232935862712,1.0547491903602677,0.7778319132274825
0.2,0|y|-,0.23654233722742077,1.0547474518037132,0.7778323091089978
0.2,0|x|+,0.23654233857127416,1.0543379210291568,0.7778506730303155
0.2,eq,0.0005687650225101893,0.007175253792106595,0.0022575792379304145
0.2,0|z|+,0.23654233016207332,1.0547512238292027,0.777831567364583
0.2,0|z|-,0.23654233785615583,1.0547547920609777,0.7778325283600883
0.2,0|y|+,0.23654233087067475,1.0547505335307263,0.7778318805352514
0.2,0|x|-,0.23654235436988036,1.0543582583520241,0.7778356980426537
0.16,1|z|+,0.2363907211225864,1.0500784789915616,0.7779080405057377
0.16,1|y|-,0.23639072119264845,1.0500528262685764,0.7779216792430955
0.16,1|x|+,0.2363907214001808,1.050135155446461,0.7779066298461389
0.16,1|y|+,0.2363907209436013,1.0500847970988976,0.7779071470354418
0.16,1|x|-,0.23639072106350822,1.0501270661218458,0.7779241768463668
0.16,1|z|-,0.23639072114126766,1.050059471033516,0.7779208555473524
0.16,0|y|-,0.23639071995651958,1.0500646881700435,0.7779175285033276
0.16,0|x|+,0.23639072173220985,1.0501378328492055,0.7779096967653703
0.16,eq,0.0002607136474327654,0.004738747086748818,0.0009517168077673062
0.16,0|z|+,0.2363907221618824,1.0500717220981288,0.7779102973667745
0.16,0|z|-,0.2363907200927488,1.0500583528641838,0.7779185833627691
0.16,0|y|+,0.23639072220439097,1.0500651804931087,0.7779109434186972
0.16,0|x|-,0.23639073812484113,1.0501196309908603,0.7779221088254593
